ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9A,AW9B,AW9C,AW19,AW20,AW21
764,838,2,2,1,1,,3,2,1,1,1,0,0,45,4,8,,,2,,2,2,0,2,1,3,1.637,2.752,48,2,,,,,,,,,,,,2,,3
765,838,1,3,1,3,3,3,1,0,1,1,0,1,29,3,1,,,2,,2,2,0,2,1,3,1.345,1.291,13,1,3,5,2,,2,,2,2,1,1,2,2,,2
766,838,1,4,1,3,1,1,,1,0,,,,72,3,99,9,,2,,1,1,0,1,1,2,0.753,0.723,39,1,4,5,1,1,,,1,1,2,3,2,1,,4
767,838,1,1,2,3,5,2,2,1,1,,,,47,2,1,,,2,,1,0,0,1,1,2,0.653,1.254,17,2,,,,,,,,,,,,0,7,4
768,838,1,4,1,1,,3,2,1,1,0,1,0,47,4,5,,,1,1,,2,0,2,1,3,1.152,1.938,48,1,2,5,2,,2,,2,2,2,1,3,2,,2
769,838,1,2,1,1,,4,2,1,1,0,2,0,38,5,9,,2,2,,1,2,0,1,2,3,0.783,1.442,22,1,4,5,2,,1,,2,2,1,1,2,2,,2
770,838,1,2,1,3,2,5,2,1,1,0,2,1,35,3,8,,,2,,1,3,0,2,1,4,1.08,2.161,53,1,3,5,2,,2,,2,1,3,1,2,3,2,3
771,838,1,2,1,3,2,2,2,1,1,,,,78,1,99,9,,2,,1,1,0,2,2,2,1.87,4.236,26,1,3,5,1,1,,,1,1,3,4,3,1,,4
772,838,1,2,1,3,1,3,3,2,1,,,,67,1,99,9,,2,,1,3,0,2,2,2,1.536,3.045,29,2,,,,,,,,,,,,3,8,8
773,838,1,2,1,1,,2,2,1,1,,,,32,4,4,,,2,,1,3,0,2,1,2,0.684,1.313,39,1,3,5,2,,2,,8,2,3,1,2,3,1,3
774,838,2,2,1,3,2,4,2,1,1,1,1,0,36,2,5,,,2,,1,8,0,2,2,3,0.643,1.222,21,2,,,,,,,,,,,,8,8,3
775,838,1,2,1,1,,4,2,1,1,0,1,1,32,3,9,,2,2,,1,3,0,2,1,2,0.827,1.587,18,8,,,,,,,,,,,,3,2,3
